"","CMCSA","FISV","MSFT","JNJ","CSCO","ADS","CL","BBT","AAPL","BFB","Rf","SP500"
"2010-09-08",6.860342,12.9975,19.392719,45.951519,16.549917,58.052624,28.683105,18.392855,25.152536,11.242784,1.454,1098.869995
"2010-09-09",6.883315,13.0575,19.45755,46.708912,16.52586,59.980202,28.671566,18.96343,25.166883,11.288482,1.566,1104.180054
"2010-09-10",7.044103,13.175,19.327892,46.833851,16.533878,60.430302,28.909985,18.741539,25.199409,11.229459,1.583,1109.550049
"2010-09-13",7.051759,13.34,20.348984,47.099327,17.047052,62.524227,28.860004,19.312107,25.546682,11.132356,1.507,1121.900024
"2010-09-14",6.810574,13.38,20.284151,47.302345,17.1994,61.516407,29.006117,18.567204,25.644258,11.469356,1.428,1121.099976
"2010-09-15",6.906282,13.45,20.357086,47.669327,17.311663,62.387238,29.329138,18.701918,25.850899,11.417953,1.443,1125.069946
"2010-09-16",6.726354,13.3525,20.527277,47.85672,17.584286,61.682743,29.448349,18.448332,26.458378,11.585496,1.462,1124.660034
"2010-09-17",6.75315,13.39,20.438126,48.075359,17.528162,61.937145,29.752132,18.250219,26.343573,11.619766,1.44,1125.589966
"2010-09-20",6.929253,13.5675,20.608311,48.481388,17.439959,63.199371,30.090532,18.765316,27.09552,11.734004,1.417,1142.709961
"2010-09-21",6.940738,13.51,20.381393,48.364262,17.351751,62.064346,30.205902,18.820787,27.147177,11.604538,1.311,1139.780029
"2010-09-22",6.87183,13.4425,19.943785,48.387688,17.375811,61.956718,30.167442,18.749466,27.527927,11.612152,1.311,1134.280029
"2010-09-23",6.860342,13.4775,19.797916,48.262756,17.263557,61.203297,30.017469,18.725689,27.639862,11.593113,1.321,1124.829956
"2010-09-24",7.109185,13.77,20.081551,48.520432,17.712578,63.943001,30.194365,19.423056,27.965115,11.770178,1.352,1148.670044
"2010-09-27",7.009647,13.545,20.041035,48.434532,17.728621,65.586845,30.352026,19.066448,27.854143,11.659751,1.281,1142.160034
"2010-09-28",7.021132,13.4975,20.000517,48.746868,17.528162,65.068245,30.305872,19.074377,27.442789,11.760662,1.225,1147.699951
"2010-09-29",6.948395,13.3875,19.854641,48.653175,17.536179,64.892128,30.113609,19.217016,27.491571,11.707349,1.287,1144.72998
"2010-09-30",6.921597,13.455,19.846544,48.379868,17.560232,63.85495,29.556017,19.082298,27.145264,11.73591,1.281,1141.199951
"2010-10-01",6.822062,13.375,19.757391,48.215912,17.568249,64.295265,29.444502,19.312107,27.027594,11.819681,1.271,1146.23999
"2010-10-04",6.833281,13.41,19.376513,48.153439,17.447975,62.054558,29.386822,19.074377,26.656401,11.756853,1.227,1137.030029
"2010-10-05",6.991923,13.6075,19.733089,49.03577,17.632397,63.639694,28.810009,19.248711,27.641764,11.838719,1.206,1160.75
"2010-10-06",6.871975,13.54,19.797916,49.355904,17.880964,62.72971,28.440851,19.25663,27.665682,11.762562,1.164,1159.969971
"2010-10-07",6.922275,13.5275,19.878956,49.363724,17.953131,62.700352,28.360086,19.074377,27.668552,11.623576,1.14,1158.060059
"2010-10-08",6.960969,13.635,19.911371,49.371525,18.025299,63.160233,28.802319,18.686068,28.132532,11.634997,1.101,1165.150024
"2010-10-11",6.972577,13.5675,19.927574,49.426186,18.017282,63.365707,28.783089,18.622675,28.255941,11.663559,NA,1165.319946
"2010-10-12",6.972577,13.5225,20.122074,49.418373,18.13755,64.745354,28.817696,18.876259,28.560163,11.699733,1.136,1169.77002
"2010-10-13",7.019011,13.5825,20.535374,49.644817,18.586578,66.780579,29.121492,18.644991,28.713224,11.817778,1.12,1178.099976
"2010-10-14",7.111874,13.63,20.44623,49.76976,18.498383,67.269806,29.16378,18.246252,28.920822,11.857759,1.175,1173.810059
"2010-10-15",7.332431,13.835,20.697458,49.637012,18.730906,66.878426,29.183016,18.054859,30.109943,11.857759,1.186,1176.189941
"2010-10-18",7.355645,13.83,20.924368,49.863445,18.682804,66.43811,29.506025,18.445621,30.421824,11.914877,1.118,1184.709961
"2010-10-19",7.394335,13.7175,20.340879,49.418373,18.4182,64.324608,29.321449,18.278152,29.607702,11.812064,1.097,1165.900024
"2010-10-20",7.49881,13.875,20.511063,49.660431,18.762987,61.301147,29.679085,18.278152,29.707193,11.970094,1.09,1178.170044
